Februari 2024

Artikel Wiki Teraktif: 
------------------------
Daftar_gen_penyandi_protein_pada_manusia/2 283748.0
United_Kingdom 246345.0
Insiden_penghimpitan_kerumunan_Houston_2021 192194.0
Peta_interaktif_bahasa/Halmahera_Utara 169247.0
Amy_Adams 140815.0
Skuad_Piala_Negara-Negara_Afrika_2023 133288.0
Daftar_basilika 124554.0
Muhammad_Arsyad_al-Banjari 122388.0
Divisi_Satu_Liga_Indonesia_2006 108635.0
Joko_Widodo 106887.0
Divisi_Satu_Liga_Indonesia_2007 105382.0
Wirakusuma_II_dari_Banjar 95602.0
Divisi_Satu_Liga_Indonesia_2005 81474.0
H.A.S._Hanandjoeddin 80511.0
Peta_interaktif_bahasa/Gorap 78062.0
Buddhisme 77022.0
Jerman_Terbuka_2024 76456.0
Grand_Prix_Sepeda_Motor_musim_1992 74426.0
Ruichang_Tiongkok_Masters_2024 73944.0
Kanye_West 73740.0
Daftar_makam_Kepausan_yang_masih_ada 73389.0
Tamjidillah_II 71486.0
Saidullah_dari_Banjar 71223.0
Welcome_to_Wrexham 70481.0
Peta_interaktif_bahasa/Sentani 70270.0
Grand_Prix_sepeda_motor_Qatar_2016 68892.0
Salaar:_Part_1_–_Ceasefire 68353.0
Uji_coba_kotak_info_Wikidata 65762.0
Orléans_Masters_2024 65175.0
Ratoe_Anom_Mangkoe_Boemi_Kentjana 64454.0
Swiss_Terbuka_2024 64267.0
Stay_(lagu_The_Kid_Laroi_dan_Justin_Bieber) 61065.0
Dukungan_dalam_pemilihan_umum_Presiden_Indonesia_2024 60807.0
Kamala_Sari 59532.0
Daftar_satelit_alami 58405.0
Dunki 57531.0
Babak_sistem_gugur_Piala_Afrika_2023 55991.0
Dáil_Éireann_ke-33 55747.0
Wirakusuma_III_dari_Banjar 55642.0
Prancis_Terbuka_2024_(bulu_tangkis) 55441.0
All_England_2024 55367.0
Abdul_Wahab_Bugis 54798.0
2018–19_Piala_Belgia 54741.0
Kotak_info_organisasi/formatglobal 54509.0
Ariandi_Lie 52900.0
Perang_Tiongkok-Jepang_Pertama 52374.0
Kim_Il-sung 51904.0
Universitas_Cambridge 51782.0
Tamjidillah_I 51690.0
Kiai_Toemenggoeng_Djaija_Negara 50947.0
Fazoffic 49962.0
Wikidata/Berita 49305.0
Sultan_Adam_dari_Banjar 48851.0
Rtnf/Statistik_Januari_2024 48775.0
Particle_swarm_optimization 48721.0
Kematian_dan_pemakaman_kenegaraan_Sebastián_Piñera 47446.0
Ratu_Zaleha 47148.0
